id;name;description;code
1;Computers Lepic;Total encompassing;wireless Cuban Berkshire
2;b Optional d'Azur;world-class;Clothing Berkshire
3;sensor;Ouganda red;Account Avon Bénin
4;Rubber;Bike structure a;content-based
5;transmit Books;Fresh;Books Alsace Table
6;optical deposit interface;Loan multi-byte;vortals Networked Avon
7;Agent Fantastic;Suriname Pizza Producteur;demand-driven
8;Afghani Down-sized;a AGP;Berkshire
9;Frozen monetize;matrix Licensed;Developpeur Avon
10;b e-services Kids;Augustins;online
